#: table_doi: 10.17182/hepdata.56191.v1/t21
#: name: Table 21
#: description: T dependence of the GAMMA* P cross section for elastic RHO0 production  for several values. There is an additional overall normalization uncertainty of 3.9 PCT.

#: data_file: Table21.yaml
#: keyword reactions: GAMMA* P --> RHO0 P
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: RE,,,GAMMA* P --> RHO0 P
#: W [GeV],,,75.0 (35.0-180.0)
#: Q**2 [GeV^2],,,3.3
#: sqrts [GEV],,,300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2] LOW','ABS(T) [GEV**2] HIGH','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,0.0,0.05,2156.0,82.0,-82.0,202.0,-141.0
0.07500000000000001,0.05,0.1,1379.0,73.0,-73.0,132.0,-90.0
0.125,0.1,0.15,858.0,54.0,-54.0,96.0,-65.0
0.175,0.15,0.2,665.0,48.0,-48.0,72.0,-60.0
0.25,0.2,0.3,346.0,27.0,-27.0,46.0,-38.0
0.35,0.3,0.4,234.0,25.0,-25.0,35.0,-28.0
0.45,0.4,0.5,61.2,13.9,-13.9,18.8,-16.4

#: RE,,,GAMMA* P --> RHO0 P
#: W [GeV],,,75.0 (35.0-180.0)
#: Q**2 [GeV^2],,,606.0
#: sqrts [GEV],,,300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2] LOW','ABS(T) [GEV**2] HIGH','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,0.0,0.05,604.0,31.0,-31.0,44.0,-21.0
0.07500000000000001,0.05,0.1,392.0,24.0,-24.0,35.0,-16.0
0.125,0.1,0.15,214.0,18.0,-18.0,19.0,-12.0
0.175,0.15,0.2,198.0,16.0,-16.0,15.0,-9.0
0.25,0.2,0.3,99.1,9.0,-9.0,10.0,-8.4
0.35,0.3,0.4,50.0,7.2,-7.2,8.7,-5.6
0.45,0.4,0.5,31.5,5.5,-5.5,5.8,-4.7

#: RE,,,GAMMA* P --> RHO0 P
#: W [GeV],,,75.0 (35.0-180.0)
#: Q**2 [GeV^2],,,11.5
#: sqrts [GEV],,,300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2] LOW','ABS(T) [GEV**2] HIGH','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,0.0,0.05,181.0,18.0,-18.0,14.0,-10.0
0.07500000000000001,0.05,0.1,123.0,12.0,-12.0,11.0,-8.0
0.125,0.1,0.15,89.8,10.6,-10.6,9.5,-5.4
0.175,0.15,0.2,61.4,9.8,-9.8,7.3,-6.0
0.25,0.2,0.3,44.0,8.0,-8.0,5.0,-4.5
0.35,0.3,0.4,22.0,5.0,-5.0,2.3,-2.3
0.45,0.4,0.5,8.58,3.02,-3.02,2.06,-1.35

#: RE,,,GAMMA* P --> RHO0 P
#: W [GeV],,,75.0 (35.0-180.0)
#: Q**2 [GeV^2],,,17.4
#: sqrts [GEV],,,300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2] LOW','ABS(T) [GEV**2] HIGH','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,0.0,0.05,51.1,3.8,-3.8,4.8,-3.9
0.07500000000000001,0.05,0.1,35.6,3.5,-3.5,3.6,-2.8
0.125,0.1,0.15,24.3,2.9,-2.9,2.6,-2.2
0.175,0.15,0.2,26.4,3.4,-3.4,2.7,-2.4
0.25,0.2,0.3,12.3,1.4,-1.4,2.0,-1.2
0.35,0.3,0.4,8.48,1.4,-1.4,1.16,-1.04
0.45,0.4,0.5,3.87,0.91,-0.91,0.95,-0.64

#: RE,,,GAMMA* P --> RHO0 P
#: W [GeV],,,75.0 (35.0-180.0)
#: Q**2 [GeV^2],,,33.0
#: sqrts [GEV],,,300 + 320
'ABS(T) [GEV**2]','ABS(T) [GEV**2] LOW','ABS(T) [GEV**2] HIGH','D(SIG)/DT [NB/GEV**2]','stat +','stat -','sys +','sys -'
0.025,0.0,0.05,6.52,0.93,-0.93,0.87,-0.77
0.07500000000000001,0.05,0.1,4.9,0.78,-0.78,0.73,-0.62
0.125,0.1,0.15,4.43,0.71,-0.71,0.56,-0.5
0.175,0.15,0.2,2.59,0.56,-0.56,0.52,-0.32
0.25,0.2,0.3,2.28,0.39,-0.39,0.28,-0.28
0.35,0.3,0.4,1.85,0.52,-0.52,0.29,-0.24
0.45,0.4,0.5,0.66,0.272,-0.272,0.164,-0.127

